Crustal model                   3D_Pelop_average_VP_do100km 
number of layers 
  191
Parameters of the layers
depth of layer top(km)   Vp(km/s)    Vs(km/s)    Rho(g/cm**3)    Qp      Qs
    0.00000              2.06021      0.57913    2.49998         86.86   57.91
    0.00038              2.06924      0.58705    2.50080         88.05   58.70
    0.00075              2.07796      0.59470    2.50158         89.20   59.46
    0.00113              2.08638      0.60209    2.50234         90.31   60.20
    0.00150              2.09454      0.60925    2.50308         91.38   60.92
    0.00188              2.10245      0.61618    2.50379         92.42   61.61
    0.00225              2.11013      0.62292    2.50448         93.43   62.29
    0.00263              2.11759      0.62947    2.50515         94.41   62.94
    0.00300              2.12485      0.63583    2.50581         95.37   63.58
    0.00350              2.13424      0.64407    2.50665         96.61   64.40
    0.00400              2.14331      0.65203    2.50747         97.80   65.20
    0.00450              2.15210      0.65974    2.50826         98.96   65.97
    0.00500              2.16063      0.66722    2.50903        100.08   66.72
    0.00550              2.16890      0.67447    2.50978        101.17   67.44
    0.00600              2.17694      0.68153    2.51050        102.22   68.15
    0.00650              2.18477      0.68839    2.51120        103.25   68.83
    0.00713              2.19427      0.69672    2.51206        104.50   69.67
    0.00775              2.20347      0.70480    2.51289        105.71   70.47
    0.00838              2.21240      0.71263    2.51369        106.89   71.26
    0.00900              2.22107      0.72024    2.51448        108.03   72.02
    0.00963              2.22951      0.72764    2.51524        109.14   72.76
    0.01038              2.23934      0.73626    2.51612        110.43   73.62
    0.01113              2.24887      0.74462    2.51698        111.69   74.46
    0.01188              2.25812      0.75273    2.51781        112.91   75.27
    0.01263              2.26711      0.76062    2.51862        114.09   76.06
    0.01338              2.27586      0.76830    2.51941        115.24   76.82
    0.01425              2.28578      0.77700    2.52031        116.54   77.69
    0.01513              2.29541      0.78545    2.52117        117.81   78.54
    0.01600              2.30477      0.79366    2.52202        119.04   79.36
    0.01688              2.31388      0.80165    2.52284        120.24   80.16
    0.01788              2.32401      0.81053    2.52375        121.57   81.05
    0.01888              2.33384      0.81916    2.52464        122.87   81.91
    0.01988              2.34340      0.82755    2.52550        124.13   82.75
    0.02100              2.35386      0.83672    2.52644        125.50   83.67
    0.02213              2.36402      0.84563    2.52736        126.84   84.56
    0.02313              2.37488      0.85516    2.52833        128.27   85.51
    0.02400              2.38619      0.86508    2.52935        129.76   86.50
    0.02488              2.39731      0.87484    2.53035        131.22   87.48
    0.02575              2.40826      0.88444    2.53134        132.66   88.44
    0.02663              2.41903      0.89389    2.53231        134.08   89.38
    0.02750              2.42964      0.90319    2.53327        135.47   90.31
    0.02838              2.44009      0.91236    2.53421        136.85   91.23
    0.02938              2.45185      0.92268    2.53527        138.40   92.26
    0.03038              2.46343      0.93283    2.53631        139.92   93.28
    0.03138              2.47482      0.94282    2.53734        141.42   94.28
    0.03238              2.48604      0.95267    2.53835        142.89   95.26
    0.03338              2.49709      0.96236    2.53934        144.35   96.23
    0.03450              2.50934      0.97310    2.54045        145.96   97.31
    0.03563              2.52139      0.98367    2.54153        147.55   98.36
    0.03675              2.53325      0.99408    2.54260        149.11   99.40
    0.03788              2.54494      1.00433    2.54365        150.64  100.43
    0.03900              2.55645      1.01443    2.54469        152.16  101.44
    0.04025              2.56905      1.02548    2.54583        153.82  102.54
    0.04150              2.58146      1.03637    2.54695        155.45  103.63
    0.04275              2.59368      1.04709    2.54805        157.06  104.70
    0.04400              2.60572      1.05765    2.54913        158.64  105.76
    0.04538              2.61876      1.06909    2.55031        160.36  106.90
    0.04675              2.63161      1.08036    2.55146        162.05  108.03
    0.04813              2.64426      1.09145    2.55260        163.71  109.14
    0.04950              2.65672      1.10239    2.55373        165.35  110.23
    0.05100              2.67012      1.11414    2.55493        167.12  111.41
    0.05250              2.68332      1.12572    2.55612        168.85  112.57
    0.05400              2.69632      1.13712    2.55729        170.56  113.71
    0.05563              2.71019      1.14929    2.55854        172.39  114.92
    0.05725              2.72385      1.16128    2.55977        174.19  116.12
    0.05888              2.73731      1.17308    2.56099        175.96  117.30
    0.06063              2.75159      1.18561    2.56227        177.84  118.56
    0.06238              2.76565      1.19794    2.56354        179.69  119.79
    0.06413              2.77951      1.21009    2.56479        181.51  121.00
    0.06600              2.79413      1.22292    2.56611        183.43  122.29
    0.06788              2.80853      1.23555    2.56740        185.33  123.55
    0.06975              2.82272      1.24800    2.56868        187.19  124.79
    0.07175              2.83763      1.26108    2.57003        189.16  126.10
    0.07375              2.85232      1.27397    2.57135        191.09  127.39
    0.07588              2.86770      1.28745    2.57273        193.11  128.74
    0.07800              2.88284      1.30074    2.57410        195.11  130.07
    0.08013              2.89776      1.31383    2.57544        197.07  131.38
    0.08238              2.91333      1.32748    2.57685        199.12  132.74
    0.08463              2.92866      1.34093    2.57823        201.14  134.09
    0.08700              2.94461      1.35492    2.57966        203.23  135.49
    0.08938              2.96033      1.36871    2.58108        205.30  136.87
    0.09188              2.97662      1.38300    2.58255        207.45  138.30
    0.09438              2.99267      1.39708    2.58399        209.56  139.70
    0.09700              3.00928      1.41165    2.58549        211.74  141.16
    0.09963              3.02564      1.42600    2.58696        213.89  142.59
    0.10238              3.04252      1.44081    2.58849        216.12  144.08
    0.10513              3.05916      1.45540    2.58998        218.31  145.54
    0.10800              3.07630      1.47044    2.59153        220.56  147.04
    0.11088              3.09318      1.48525    2.59305        222.78  148.52
    0.11388              3.11054      1.50048    2.59461        225.07  150.04
    0.11688              3.12765      1.51548    2.59616        227.32  151.54
    0.12000              3.14521      1.53089    2.59774        229.63  153.08
    0.12325              3.16321      1.54667    2.59936        232.00  154.66
    0.12650              3.18094      1.56223    2.60096        234.33  156.22
    0.12988              3.19909      1.57815    2.60259        236.72  157.81
    0.13338              3.21763      1.59441    2.60426        239.16  159.44
    0.13688              3.23590      1.61043    2.60591        241.56  161.04
    0.14050              3.25454      1.62679    2.60759        244.01  162.67
    0.14425              3.27355      1.64346    2.60930        246.51  164.34
    0.14813              3.29290      1.66044    2.61104        249.06  166.04
    0.15200              3.31196      1.67716    2.61276        251.57  167.71
    0.15600              3.33135      1.69417    2.61451        254.12  169.41
    0.16013              3.35106      1.71146    2.61628        256.71  171.14
    0.16438              3.37107      1.72901    2.61809        259.35  172.90
    0.16863              3.39078      1.74630    2.61986        261.94  174.62
    0.17300              3.41078      1.76384    2.62166        264.57  176.38
    0.17750              3.43106      1.78163    2.62349        267.24  178.16
    0.18213              3.45159      1.79964    2.62534        269.94  179.96
    0.19225              3.47220      1.81772    2.62720        272.65  181.77
    0.20250              3.49296      1.83593    2.62907        275.38  183.59
    0.21338              3.51411      1.85448    2.63097        278.17  185.44
    0.22475              3.53536      1.87312    2.63289        280.96  187.31
    0.23675              3.55689      1.89201    2.63483        283.80  189.20
    0.24938              3.57865      1.91110    2.63679        286.66  191.10
    0.26263              3.60058      1.93033    2.63876        289.54  193.03
    0.27650              3.62264      1.94968    2.64075        292.45  194.96
    0.29112              3.64497      1.96927    2.64276        295.39  196.92
    0.30650              3.66753      1.98906    2.64480        298.35  198.90
    0.32263              3.69025      2.00899    2.64684        301.34  200.89
    0.33963              3.71326      2.02918    2.64892        304.37  202.91
    0.35750              3.73650      2.04957    2.65101        307.43  204.95
    0.37625              3.75992      2.07011    2.65312        310.51  207.01
    0.39600              3.78362      2.09090    2.65526        313.63  209.08
    0.41675              3.80754      2.11187    2.65741        316.78  211.18
    0.43850              3.83162      2.13300    2.65958        319.94  213.29
    0.46138              3.85595      2.15434    2.66177        323.15  215.43
    0.48550              3.88061      2.17597    2.66399        326.39  217.59
    0.51088              3.90552      2.19782    2.66624        329.67  219.78
    0.53750              3.93062      2.21984    2.66850        332.97  221.98
    0.56550              3.95599      2.24209    2.67079        336.31  224.20
    0.59488              3.98155      2.26452    2.67309        339.67  226.45
